datetime,Voltage
2006-12-16 21:15:00,236.51
2006-12-16 21:16:00,237.11
2006-12-16 21:17:00,237.06
2006-12-16 21:18:00,238.63
2006-12-16 21:19:00,237.58
2006-12-16 21:20:00,236.87
2006-12-16 21:21:00,236.94
2006-12-16 21:22:00,238.17
2006-12-16 21:23:00,237.42
2006-12-16 21:24:00,236.91
2006-12-16 21:25:00,236.24
2006-12-16 21:26:00,237.17
2006-12-16 21:27:00,238.59
2006-12-16 21:28:00,237.43
2006-12-16 21:29:00,237.73
2006-12-16 21:30:00,237.2
2006-12-16 21:31:00,238.41
2006-12-16 21:32:00,236.6
2006-12-16 21:33:00,236.12
2006-12-16 21:34:00,236.54
2006-12-16 21:35:00,238.48
2006-12-16 21:36:00,237.27
2006-12-16 21:37:00,237.06
2006-12-16 21:38:00,236.49
2006-12-16 21:39:00,236.28
2006-12-16 21:40:00,236.89
2006-12-16 21:41:00,236.64
2006-12-16 21:42:00,236.58
2006-12-16 21:43:00,236.83
2006-12-16 21:44:00,237.75
2006-12-16 21:45:00,239.69
2006-12-16 21:46:00,238.95
2006-12-16 21:47:00,236.46
2006-12-16 21:48:00,235.98
2006-12-16 21:49:00,235.85
2006-12-16 21:50:00,238.19
2006-12-16 21:51:00,236.28
2006-12-16 21:52:00,236.4
2006-12-16 21:53:00,236.46
2006-12-16 21:54:00,236.28
2006-12-16 21:55:00,237.33
2006-12-16 21:56:00,237.09
2006-12-16 21:57:00,236.39
2006-12-16 21:58:00,236.75
2006-12-16 21:59:00,235.73
2006-12-16 22:00:00,236.03
2006-12-16 22:01:00,237.68
2006-12-16 22:02:00,235.99
2006-12-16 22:03:00,236.26
2006-12-16 22:04:00,236.03
2006-12-16 22:05:00,235.7
2006-12-16 22:06:00,236.08
2006-12-16 22:07:00,237.31
2006-12-16 22:08:00,236.14
2006-12-16 22:09:00,236.61
2006-12-16 22:10:00,236.93
2006-12-16 22:11:00,237.97
2006-12-16 22:12:00,238.02
2006-12-16 22:13:00,236.06
2006-12-16 22:14:00,234.45
2006-12-16 22:15:00,235.31
2006-12-16 22:16:00,237.1
2006-12-16 22:17:00,238.68
2006-12-16 22:18:00,238.76
2006-12-16 22:19:00,238.59
2006-12-16 22:20:00,238.87
2006-12-16 22:21:00,238.97
2006-12-16 22:22:00,239.93
2006-12-16 22:23:00,239.05
2006-12-16 22:24:00,238.46
2006-12-16 22:25:00,239.68
2006-12-16 22:26:00,240.72
2006-12-16 22:27:00,240.87
2006-12-16 22:28:00,239.71
2006-12-16 22:29:00,239.89
2006-12-16 22:30:00,239.48
2006-12-16 22:31:00,241.64
2006-12-16 22:32:00,240.07
2006-12-16 22:33:00,239.77
2006-12-16 22:34:00,240.05
2006-12-16 22:35:00,239.75
2006-12-16 22:36:00,240.58
2006-12-16 22:37:00,239.2
2006-12-16 22:38:00,238.84
2006-12-16 22:39:00,238.39
2006-12-16 22:40:00,238.39
2006-12-16 22:41:00,241.06
2006-12-16 22:42:00,240.89
2006-12-16 22:43:00,239.46
2006-12-16 22:44:00,239.27
2006-12-16 22:45:00,239.57
2006-12-16 22:46:00,239.99
2006-12-16 22:47:00,242.04
2006-12-16 22:48:00,239.89
2006-12-16 22:49:00,239.91
2006-12-16 22:50:00,240.02
2006-12-16 22:51:00,239.97
